path=./bin/ypdomainname ino=59207 mode=120777 nlink=1 uid=0 gid=0 size=8 atime=1515801742 mtime=1467573977 ctime=1515801747 target=hostname
path=./bin/zcat ino=59638 mode=100755 nlink=1 uid=0 gid=0 size=1937 atime=1515801810 mtime=1457988105 ctime=1515801747 md5=90c4b28b74f640cf617df28fdb2a4343
path=./bin/zcmp ino=59639 mode=100755 nlink=1 uid=0 gid=0 size=1777 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=6400edeffb01785cb7426801619d8535
path=./bin/zdiff ino=59640 mode=100755 nlink=1 uid=0 gid=0 size=5764 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=a5a19c20adac5c2fd442e210a7019541
path=./bin/zegrep ino=59641 mode=100755 nlink=1 uid=0 gid=0 size=140 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=2221804bc19bc972f0832164279fc38c
path=./bin/zfgrep ino=59642 mode=100755 nlink=1 uid=0 gid=0 size=140 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=851406fce257ba85b3324e7083922d5d
path=./bin/zforce ino=59643 mode=100755 nlink=1 uid=0 gid=0 size=2131 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=80aacfbde81d03d20788f370417651cc
path=./bin/zgrep ino=59644 mode=100755 nlink=1 uid=0 gid=0 size=5938 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=95c89486d3fc91bc349d3472ca2ee62e
path=./bin/zless ino=59645 mode=100755 nlink=1 uid=0 gid=0 size=2037 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=182ea700442885f568585f374423073d
path=./bin/zmore ino=59646 mode=100755 nlink=1 uid=0 gid=0 size=1910 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=33f85cb0c62fc22f5c2ad0f067c5e83a
path=./bin/znew ino=59647 mode=100755 nlink=1 uid=0 gid=0 size=5047 atime=1515801742 mtime=1457988105 ctime=1515801747 md5=28e60ed41c0a59a442cade866bff3a97
path=./boot ino=73441 mode=40755 nlink=3 uid=0 gid=0 size=1024 atime=1515801925 mtime=1515801914 ctime=1515801914
path=./boot/config-4.9.0-4-686-pae ino=73444 mode=100644 nlink=1 uid=0 gid=0 size=188957 atime=1515801925 mtime=1512330115 ctime=1515801801 md5=96cf832ae813f158ef92521589c84beb
path=./boot/grub ino=73447 mode=40755 nlink=5 uid=0 gid=0 size=1024 atime=1515802311 mtime=1515801925 ctime=1515801925
path=./boot/grub/fonts ino=75482 mode=40755 nlink=2 uid=0 gid=0 size=1024 atime=1515802311 mtime=1515801924 ctime=1515801924
path=./boot/grub/fonts/unicode.pf2 ino=75484 mode=100644 nlink=1 uid=0 gid=0 size=1363161 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=6186fd5c9bf0fab4e0df8f3b5b91c65b
path=./boot/grub/grub.cfg ino=73766 mode=100444 nlink=1 uid=0 gid=0 size=5806 atime=1515801925 mtime=1515801925 ctime=1515801925 md5=0844897e116b24fc6b3e97167017ce3b
path=./boot/grub/grubenv ino=73763 mode=100644 nlink=1 uid=0 gid=0 size=1024 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=2c738a08c10c18453dc86e83e4ad1e6f
path=./boot/grub/i386-pc ino=73449 mode=40755 nlink=2 uid=0 gid=0 size=11264 atime=1515802311 mtime=1515801924 ctime=1515801924
path=./boot/grub/i386-pc/915resolution.mod ino=73709 mode=100644 nlink=1 uid=0 gid=0 size=7972 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=f7e5054a98d77c26f1793cfe63d66eb8
path=./boot/grub/i386-pc/acpi.mod ino=73652 mode=100644 nlink=1 uid=0 gid=0 size=10620 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=dda1d3430c791b1c0cbf8b4a0928a707
path=./boot/grub/i386-pc/adler32.mod ino=73702 mode=100644 nlink=1 uid=0 gid=0 size=1324 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=643857a6f236513d152dcbde1fe3f0c3
path=./boot/grub/i386-pc/affs.mod ino=73601 mode=100644 nlink=1 uid=0 gid=0 size=5652 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=98b03b2fbfd0fe8067ee642a15db5b18
path=./boot/grub/i386-pc/afs.mod ino=73646 mode=100644 nlink=1 uid=0 gid=0 size=6108 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=b6f28d26f681280e1fbe180e67be612b
path=./boot/grub/i386-pc/ahci.mod ino=73486 mode=100644 nlink=1 uid=0 gid=0 size=15540 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=5631a6e0ee0d322af05f31336aff4f09
path=./boot/grub/i386-pc/all_video.mod ino=73609 mode=100644 nlink=1 uid=0 gid=0 size=492 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=0c5ee80fb7756c61a21792f72bbfe1e7
path=./boot/grub/i386-pc/aout.mod ino=73563 mode=100644 nlink=1 uid=0 gid=0 size=1036 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=bc7cf39926ba91e5a6563772e4da5039
path=./boot/grub/i386-pc/archelp.mod ino=73520 mode=100644 nlink=1 uid=0 gid=0 size=2956 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=1151a83c860f0f1b7d1f7b24367f9f8f
path=./boot/grub/i386-pc/ata.mod ino=73523 mode=100644 nlink=1 uid=0 gid=0 size=5636 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=1981050c16d8ea7b47ef9f51ec88e65a
path=./boot/grub/i386-pc/at_keyboard.mod ino=73495 mode=100644 nlink=1 uid=0 gid=0 size=4284 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=caa903f7d156ca79f75342b60fdffcb4
path=./boot/grub/i386-pc/backtrace.mod ino=73596 mode=100644 nlink=1 uid=0 gid=0 size=1640 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=2dfb0cda065348386e6cc1001f67831d
path=./boot/grub/i386-pc/bfs.mod ino=73653 mode=100644 nlink=1 uid=0 gid=0 size=6816 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=3925b27d97452cb36919ac1edc3d99c7
path=./boot/grub/i386-pc/biosdisk.mod ino=73527 mode=100644 nlink=1 uid=0 gid=0 size=4692 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=2cb5f4fb3fdfa8e0016d8d843ca99223
path=./boot/grub/i386-pc/bitmap.mod ino=73711 mode=100644 nlink=1 uid=0 gid=0 size=2256 atime=1515801924 mtime=1515801924 ctime=1515801924 md5=5b4edfd6a6eea192ba5683d1014f4245
